학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,학제별,평균입학금,평균등록금(원),일반학자금대출_전체_학생수,일반학자금대출_전체_금액,일반학자금대출_등록금_학생수,일반학자금대출_등록금_금액,취업학자금대출_전체_학생수,취업학자금대출_전체_금액,취업학자금대출_등록금_학생수,취업학자금대출_등록금_금액,일반_생활비대출_금액,취업_생활비대출_금액,총_생활비대출_금액,총_등록금대출_금액,총_대출_금액,총_대출_학생수
서경대학교,사립,서울,15041799325,3333695400,23895424006,대학,0,8688695.9,1012,3925361000,854,2977711000,1143,3625182584,842,2237832584,947650000,1387350000,2335000000,5215543584,7550543584,2155
서영대학교,사립,광주,16366764251,57848334,19291392552,전문대학,0,6027954.0,608,1508873460,302,632473460,847,2051242919,334,690949467,876400000,1360293452,2236693452,1323422927,3560116379,1455
서울과학기술대학교,국공립,서울,19368652341,2075685510,31205737972,대학,0,5494477.2,1399,4673987120,981,2875737120,1306,3456945989,598,1456641480,1798250000,2000304509,3798554509,4332378600,8130933109,2705
서울교육대학교,국공립,서울,1721934776,156187000,2664739655,대학,0,3256000.0,244,726278000,211,436978000,91,215584000,42,60334000,289300000,155250000,444550000,497312000,941862000,335
서울기독대학교,사립,서울,865272512,35070300,2072223830,대학,0,8139117.6,87,326649300,68,208149300,73,221675219,43,116333820,118500000,105341399,223841399,324483120,548324519,160
서울대학교,국공립,서울,24052559368,4985516593,55264819196,대학,0,6091815.7,4637,20978136430,3555,15137586430,1559,5077449177,789,2637349177,5840550000,2440100000,8280650000,17774935607,26055585607,6196
서울디지털대학교,사립,서울,11737467400,202567200,17371358750,대학,0,2311658.9,1287,2799521550,555,456721550,624,1371936534,278,231400700,2342800000,1140535834,3483335834,688122250,4171458084,1911
서울사이버대학교,사립,서울,19256855250,91856700,27666384213,대학,0,2850600.1,1832,4261736000,819,1157786000,1030,2326595082,430,504661390,3103950000,1821933692,4925883692,1662447390,6588331082,2862
서울시립대학교,국공립,서울,12894619256,1214705750,20394425532,대학,0,2530265.8,1623,5459930300,1107,3189545200,1290,2783785220,316,484635220,2270385100,2299150000,4569535100,3674180420,8243715520,2913
서울신학대학교,사립,경기,8305936518,975205100,10505888245,대학,0,7676276.8,618,2581808500,536,1900958500,627,1924569818,406,1065936759,680850000,858633059,1539483059,2966895259,4506378318,1245
서울여자간호대학교,사립,서울,1853933698,280512067,2690290412,전문대학,0,6963750.0,109,357901400,84,236401400,278,786312413,171,408312413,121500000,378000000,499500000,644713813,1144213813,387
서울여자대학교,사립,서울,16616956292,3548323980,25528477816,대학,0,8244464.4,767,2899253770,623,2199703770,1009,2932921653,578,1575904685,699550000,1357016968,2056566968,3775608455,5832175423,1776
서울예술대학교,사립,경기,8563766716,1295883300,12508086343,전문대학,0,8694943.4,589,2274820300,429,1548320300,1215,4423611330,851,2643427990,726500000,1780183340,2506683340,4191748290,6698431630,1804
서울장신대학교,사립,경기,1046324310,71147000,1561503635,대학,0,7781326.9,221,890161000,186,589711000,105,357202152,71,194002152,300450000,163200000,463650000,783713152,1247363152,326
서울한영대학교,사립,서울,1951052128,97999000,2416750250,대학,0,7245388.9,102,396221200,94,276521200,125,334706400,89,185756400,119700000,148950000,268650000,462277600,730927600,227
서원대학교,사립,충북,20740102888,526439640,30396300966,대학,0,7574190.5,581,1744928700,424,1130128700,1091,2818293006,627,1293352082,614800000,1524940924,2139740924,2423480782,4563221706,1672
서일대학교,사립,서울,15276099329,1165332022,20828859640,전문대학,0,6909536.0,787,2579872560,640,1798322560,1202,3360284452,821,1850053492,781550000,1510230960,2291780960,3648376052,5940157012,1989
서정대학교,사립,경기,22035640348,8358000,36065878205,전문대학,0,6310353.4,537,1398207590,275,632957590,561,1495839038,313,630447366,765250000,865391672,1630641672,1263404956,2894046628,1098
선린대학교,사립,경북,6131239945,174319700,7746827210,전문대학,0,6301218.6,140,346951500,59,133951500,342,870058349,125,310175009,213000000,559883340,772883340,444126509,1217009849,482
선문대학교,사립,충남,24565289317,2747928800,36563038445,대학,0,8244256.0,900,3256374120,667,2263424120,1663,4810705137,861,2494978457,992950000,2315726680,3308676680,4758402577,8067079257,2563
성결대학교,사립,경기,12821131995,163273000,18678736589,대학,0,7857086.3,795,2902010910,685,2184860910,1079,3301039495,795,1987289495,717150000,1313750000,2030900000,4172150405,6203050405,1874
성공회대학교,사립,서울,6734950645,822488030,9181954284,대학,0,7626671.5,347,1274287775,274,920187775,368,928284603,188,412788744,354100000,515495859,869595859,1332976519,2202572378,715
성균관대학교,사립,서울,31566702056,8108184100,65103841772,대학,0,9145523.9,7036,47203355730,6236,39957155730,2355,9543612519,1502,6205384627,7246200000,3338227892,10584427892,46162540357,56746968249,9391
성신여자대학교,사립,서울,20603194379,3148177250,34697642139,대학,0,8437832.3,1226,5188504100,992,4047236000,1216,3885785329,681,2198293779,1141268100,1687491550,2828759650,6245529779,9074289429,2442
성운대학교,사립,경북,5814963810,0,6960085400,전문대학,0,5467121.3,70,173229400,26,64729400,16,45314000,8,22314000,108500000,23000000,131500000,87043400,218543400,86
세경대학교,사립,강원,2751639753,109124850,3665401131,전문대학,0,5372224.4,50,120796900,16,38996900,87,221079100,39,80129100,81800000,140950000,222750000,119126000,341876000,137
세명대학교,사립,충북,18430234736,245832800,27135544315,대학,0,7503323.4,706,2244462600,490,1381862600,1328,3598243057,725,1590379321,862600000,2007863736,2870463736,2972241921,5842705657,2034
세종사이버대학교,사립,서울,16853543703,10600000,20945861579,대학,0,2920578.9,1251,2657710000,463,547460000,692,1446719340,229,249261000,2110250000,1197458340,3307708340,796721000,4104429340,1943
세한대학교,사립,전남,10873957426,2993323500,15689289604,대학,0,8013059.4,312,933482250,165,527082250,437,1416716146,252,753662954,406400000,663053192,1069453192,1280745204,2350198396,749
송곡대학교,사립,강원,1885095409,23321018,2541742406,전문대학,0,5619869.9,104,274296085,56,130496085,111,279524456,53,123124456,143800000,156400000,300200000,253620541,553820541,215
송원대학교,사립,광주,8998284248,0,12910635151,대학,0,7106105.0,189,488553800,91,208203800,353,849431611,150,295042640,280350000,554388971,834738971,503246440,1337985411,542
송호대학교,사립,강원,2804236498,3760000,3542906073,전문대학,0,6038419.6,152,449533950,98,226883950,180,525269300,92,220669300,222650000,304600000,527250000,447553250,974803250,332
수성대학교,사립,대구,12329601384,24878000,15925474730,전문대학,0,6388042.7,263,643320000,95,222520000,472,1144620680,191,390054000,420800000,754566680,1175366680,612574000,1787940680,735
수원과학대학교,사립,경기,6422453920,446417500,8515467444,전문대학,0,6011130.5,340,988622000,229,574422000,536,1440341636,287,649291247,414200000,791050389,1205250389,1223713247,2428963636,876
