학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,총_대출_금액,총_등록금대출_금액,총_생활비대출_금액,총_대출_학생수
나사렛대학교,사립,충남,14787516628,1535956170,21164632125,4848228659,2938527508,1909701151,1557
남부대학교,사립,광주,7581719193,235472800,10401593100,1806898001,777648001,1029250000,727
남서울대학교,사립,충남,23405763976,4729275850,36337338629,8579682937,5462663484,3117019453,2597
농협대학교,사립,경기,734650036,76928000,1100962675,495290000,176140000,319150000,176
단국대학교,사립,경기,49699361064,6365690583,76166048653,32738869080,22293887924,10444981156,8471
대경대학교,사립,경북,12236151329,0,16537949913,2651600339,1039918971,1611681368,1066
대구가톨릭대학교,사립,경북,38338613624,323009100,50944494232,10562890159,5846092414,4716797745,3559
대구경북과학기술원,국공립,대구,165843156,52200000,2501474825,484683680,54200340,430483340,227
대구공업대학교,사립,대구,5054758726,0,6570966620,171595500,31895500,139700000,84
대구과학대학교,사립,대구,17203950247,4599990,22528490490,2460734910,1044284910,1416450000,958
대구교육대학교,국공립,대구,2334361020,297186000,3556199070,1082022280,549672280,532350000,391
대구대학교,사립,경북,52816246055,491579060,68638008459,14002407640,8021919186,5980488454,4718
대구보건대학교,사립,대구,22551242492,0,27937740888,6590279718,3192678436,3397601282,2406
대구사이버대학교,사립,경북,5509528900,17120000,6609855855,1807582591,463698562,1343884029,784
대구예술대학교,사립,경북,899602640,52752340,1127356696,245243500,141193500,104050000,91
대구한의대학교,사립,경북,21875556810,76215600,32253898367,5269130409,2546730280,2722400129,1817
대덕대학교,사립,대전,5441308558,23403834,6893147456,710077653,249858719,460218934,321
대동대학교,사립,부산,4298206140,79393000,5734535311,1778905583,855955583,922950000,654
대림대학교,사립,경기,19013566371,1627287550,26246181964,5165274194,2997269586,2168004608,1776
대신대학교,사립,경북,2094462044,88669000,2885882115,651936840,318853500,333083340,216
대원대학교,사립,충북,5386382729,245538330,7327877596,1729788069,675638069,1054150000,664
대전과학기술대학교,사립,대전,10318071772,1152978500,13420732483,3024500369,1434395212,1590105157,1073
대전보건대학교,사립,대전,12170481291,658772120,15720122941,3904855447,1854555447,2050300000,1413
대전신학대학교,사립,대전,300541336,1200000,368776000,225194500,128694500,96500000,62
대진대학교,사립,경기,19501162718,3682485500,29120483653,8031518058,5103200747,2928317311,2526
