학교명,설립별,지역별,학제별,평균등록금(원),장학금_총계,총_대출_학생수,총_대출_금액,총_등록금대출_금액
유한대학교,사립,경기,전문대학,6756634.8,15996396436,1350,3879765042,2223821343
을지대학교,사립,대전,대학,9247499.6,18769868329,1378,4923662685,3483047722
이화여자대학교,사립,서울,대학,9311388.0,56816775931,6414,32296067030,25303391914
인덕대학교,사립,서울,전문대학,7170128.5,20614258405,1963,6032833035,3725583035
인제대학교,사립,경남,대학,7926630.2,29815087765,2712,8341064821,4632077412
인천대학교,국공립,인천,대학,4650414.5,37440493078,3161,8140996359,3486469679
인하공업전문대학,사립,인천,전문대학,7318815.2,28982779296,2190,6562518097,3685744174
인하대학교,사립,인천,대학,8490347.9,61359069359,6279,21427332234,13433089900
장로회신학대학교,사립,서울,대학,7308300.0,2791650905,1220,5624399828,4036908667
재능대학교,사립,인천,전문대학,7199291.8,12333988145,1020,2994760060,1650046111
전남과학대학교,사립,전남,전문대학,5493549.3,13257904087,676,1541103000,501653000
전남대학교,국공립,광주,대학,4198425.5,58416519402,5464,15911428359,7397825254
전남도립대학교,국공립,전남,전문대학,1962652.2,2108041405,107,212951000,20351000
전북과학대학교,사립,전북,전문대학,5403179.4,7459259898,423,1030542400,304692400
전북대학교,국공립,전북,대학,4461484.3,53677932423,4722,13190828102,5965614323
전주교육대학교,국공립,전북,대학,3646000.0,1667174845,151,322992000,85186000
전주기전대학,사립,전북,전문대학,6800000.0,9947327470,344,888178778,349478778
전주대학교,사립,전북,대학,7543384.2,44117634272,2888,8461241157,4420841952
전주비전대학교,사립,전북,전문대학,6728959.0,12653440975,868,2160380650,844797300
제주관광대학교,사립,제주,전문대학,5475138.5,5938775742,300,725502500,256902500
제주국제대학교,사립,제주,대학,5819108.1,829500560,36,104510000,53210000
제주대학교,국공립,제주,대학,4060630.6,27177775706,2463,6826796910,3021462231
제주한라대학교,사립,제주,전문대학,5618737.1,13285697155,943,2508256790,1138306790
조선간호대학교,사립,광주,전문대학,5477556.7,2301457770,268,668981750,254881750
조선대학교,사립,광주,대학,7718958.2,67271271120,4654,14340930403,7878910797
조선이공대학교,사립,광주,전문대학,5951378.2,10285526958,618,1386525192,389306250
중부대학교,사립,충남,대학,7846832.5,29467560845,2403,7205941632,4147246987
중앙대학교,사립,서울,대학,8796904.4,82149216925,8243,37724313643,27425680303
중원대학교,사립,충북,대학,7659699.5,19065380412,869,2421250370,1107333700
진주교육대학교,국공립,경남,대학,3778500.0,3337101170,198,454258400,121108400
진주보건대학교,사립,경남,전문대학,6726579.9,9884414529,897,2399462054,1080762054
차의과학대학교,사립,경기,대학,7762597.4,9843910131,1471,7013512215,5242917765
창신대학교,사립,경남,대학,6964561.1,8062068945,429,1071783340,440450000
창원문성대학교,사립,경남,전문대학,6502184.0,3506021795,316,828450000,400850000
청강문화산업대학교,사립,경기,전문대학,8073243.3,14557158551,1312,4201868370,2438932536
청암대학교,사립,전남,전문대학,6217559.3,7984718509,418,1109168010,458168010
청운대학교,사립,충남,대학,8000799.0,28095808243,1571,4467460184,2450978547
청주대학교,사립,충북,대학,8319491.0,44492459515,2958,9314869685,5556019685
초당대학교,사립,전남,대학,7231632.4,11923383402,739,2768468400,1696229500
총신대학교,사립,서울,대학,7556237.0,6354207349,1796,7109940278,4725037998
추계예술대학교,사립,서울,대학,9898886.0,3787086680,573,2371550980,1662600980
춘천교육대학교,국공립,강원,대학,3601590.4,2864006050,200,470804000,136254000
춘해보건대학교,사립,울산,전문대학,6647074.6,10005880005,1022,2767332439,1290282439
충남대학교,국공립,대전,대학,4401836.0,43638538434,4563,13338782899,6478261031
충남도립대학교,국공립,충남,전문대학,2460813.7,3885646444,161,331514500,76214500
충북대학교,국공립,충북,대학,4305681.0,38061483280,3513,10046521423,4692054743
충북도립대학교,국공립,충북,전문대학,1873069.8,1919043283,80,171595980,42645980
충북보건과학대학교,사립,충북,전문대학,6723179.0,8939776939,592,1632055860,818905860
충청대학교,사립,충북,전문대학,6323805.7,11629662810,660,1798504685,855868851
칼빈대학교,사립,경기,대학,8030000.0,2902386060,221,792035000,497035000
평택대학교,사립,경기,대학,8198774.1,12342047520,1139,3945248449,2608015109
포항공과대학교,사립,경북,대학,5613500.0,11164528477,853,3912469000,2786819000
포항대학교,사립,경북,전문대학,6575609.6,7393888887,638,1657443451,669293451
한경국립대학교,국공립,경기,대학,4021297.0,16318842120,1077,2510916810,887194080
한국과학기술원,국공립,대전,대학,6866000.0,28234464377,2092,12159420000,9179320000
한국관광대학교,사립,경기,전문대학,6832009.8,4562224173,321,894811460,445811460
한국교원대학교,국공립,충북,대학,3456068.7,6351229650,765,2193765325,1179065325
한국기술교육대학교,사립,충남,대학,4475287.1,15536880063,662,1580662224,546912224
한국농수산대학교,국공립,전북,전문대학,0.0,174818800,64,131825000,9975000
한국방송통신대학교,국공립,서울,대학,762435.9,22882242229,7674,16102031058,1797795906
한국복지사이버대학교,사립,경북,전문대학,2196000.0,5242231000,201,367858420,37358420
한국성서대학교,사립,서울,대학,7506665.2,4374722229,486,1535841775,965522825
한국승강기대학교,사립,경남,전문대학,7221135.9,2611759150,119,320707160,157457160
한국에너지공과대학교,국공립,전남,대학,9000000.0,4376732500,38,75750000,0
한국열린사이버대학교,사립,서울,대학,2423087.7,11211873610,583,1129347000,127147000
한국영상대학교,사립,세종,전문대학,6918276.8,12153280245,1195,3487376404,1775131954
한국체육대학교,국공립,서울,대학,3860074.8,6496372903,796,2273712065,1046762065
한국침례신학대학교,사립,대전,대학,5989978.1,5319422952,772,2637574759,1538874759
한국폴리텍 I 대학 서울강서캠퍼스,사립,서울,전문대학,2494000.0,519564115,75,150222000,29422000
한국폴리텍 I 대학 서울정수캠퍼스,사립,서울,전문대학,2494000.0,1448198911,255,531973830,92673830
한국폴리텍 I 대학 성남캠퍼스,사립,경기,전문대학,2432000.0,652492340,112,234314000,42064000
한국폴리텍 I 대학 제주캠퍼스,사립,제주,전문대학,2164000.0,69969000,6,11546000,3046000
한국폴리텍 II 대학 남인천캠퍼스,사립,인천,전문대학,2494000.0,75656000,8,18273519,2294000
한국폴리텍 II 대학 인천캠퍼스,사립,인천,전문대학,2494000.0,1983080063,351,765140080,141540080
한국폴리텍 III 대학 강릉캠퍼스,사립,강원,전문대학,2526761.9,164062750,18,35047500,2247500
한국폴리텍 III 대학 원주캠퍼스,사립,강원,전문대학,2174000.0,146485000,20,39087000,587000
한국폴리텍 III 대학 춘천캠퍼스,사립,강원,전문대학,2432000.0,338657000,39,79012000,8512000
한국폴리텍 IV 대학 대전캠퍼스,사립,대전,전문대학,2432000.0,971267450,194,373412660,34762660
한국폴리텍 IV 대학 아산캠퍼스,사립,충남,전문대학,2432000.0,504413001,49,97612000,7712000
한국폴리텍 IV 대학 청주캠퍼스,사립,충북,전문대학,2432000.0,885337000,109,226412000,17212000
한국폴리텍 IV 대학 충남캠퍼스,사립,충남,전문대학,2164000.0,248860000,28,53582000,1082000
한국폴리텍 V 대학 광주캠퍼스,사립,광주,전문대학,2432000.0,1237525667,170,327462000,34112000
한국폴리텍 V 대학 익산캠퍼스,사립,전북,전문대학,2432000.0,115165000,10,13216000,1216000
한국폴리텍 V 대학 전남캠퍼스,사립,전남,전문대학,2164000.0,218341000,23,45496000,3246000
한국폴리텍 V 대학 전북캠퍼스,사립,전북,전문대학,2321000.0,532743000,86,167965500,13765500
한국폴리텍 VI 대학 구미캠퍼스,사립,경북,전문대학,2432000.0,867186001,112,221316000,28116000
한국폴리텍 VI 대학 대구캠퍼스,사립,대구,전문대학,2432000.0,767142336,152,322796000,33696000
한국폴리텍 VI 대학 영남융합기술캠퍼스,사립,대구,전문대학,2432000.0,258177000,27,60228000,9728000
한국폴리텍 VI 대학 영주캠퍼스,사립,경북,전문대학,2164000.0,92598000,7,11082000,1082000
한국폴리텍 VII 대학 부산캠퍼스,사립,부산,전문대학,2432000.0,1147292587,184,362944000,41344000
한국폴리텍 VII 대학 울산캠퍼스,사립,울산,전문대학,2432000.0,907036333,170,332414000,35364000
한국폴리텍 VII 대학 창원캠퍼스,사립,경남,전문대학,2432000.0,2198211560,286,581520000,54220000
한국폴리텍 특성화대학 로봇캠퍼스,사립,경북,전문대학,2164000.0,271145000,48,103762000,15812000
한국폴리텍 특성화대학 바이오캠퍼스,사립,충남,전문대학,2595000.0,496650000,63,118055396,8082500
한국폴리텍 특성화대학 반도체융합캠퍼스,사립,경기,전문대학,2432000.0,473384000,86,165818000,26468000
한국폴리텍 특성화대학 항공캠퍼스,사립,경남,전문대학,2433846.2,409553667,72,147967500,25517500
한국항공대학교,사립,경기,대학,9210265.3,15244895175,1525,6207019679,4468200389
한남대학교,사립,대전,대학,7869677.4,46491151779,2663,7623566816,4138457204
한동대학교,사립,경북,대학,7413037.9,17698667318,1601,5440010127,3110010127
한라대학교,사립,강원,대학,7767468.5,12352179562,718,2087017290,1172990010
한림대학교,사립,강원,대학,8226649.5,27696772569,2101,6399889506,3782459506
한림성심대학교,사립,강원,전문대학,6250016.4,10093895908,717,1919414900,979364900
한서대학교,사립,충남,대학,8525200.1,25832986918,2379,9433551933,6463498324
한성대학교,사립,서울,대학,8033733.0,26492831358,2160,7292427494,4841694494
한세대학교,사립,경기,대학,8859564.3,10412071990,1237,4782664529,3366314529
